"","Title","Year.gschol","source.gschol","Abstract.gschol","Year.pubmed","source.pubmed","Year.webos","source.webos","Abstract.webos"
"1129","The Impact of Joint Misclassification of Exposures and Outcomes on the Results of Epidemiologic Research",NA,NA,NA,NA,NA,2018,"Web of Science","Purpose of ReviewWe discuss the causes and impacts of dependent nondifferential misclassification with particular attention to the mechanisms by which dependent misclassification occurs. We also present suggestions for how to reduce the potential for dependent misclassification.Recent FindingsMisclassification is ubiquitous in associations between exposures and outcomes in epidemiology. While most epidemiologic textbooks cover independent nondifferential misclassification of both exposures and outcomes, the impact of joint misclassification of exposure and outcome is a poorly understood problem.SummaryUnder common scenarios, joint misclassification of exposure and outcome can lead to strong bias (in any direction) even when the misclassification of both variables is nondifferential. The direction and magnitude of the bias will depend on the amount of dependent error and the mechanism by which the dependencies occur, as well as the direction and magnitude of the true effect along with the extent to which additional independent nondifferential misclassification of exposures or outcomes also exists."
"1130","The Impact of Maryland Care Management Entity on Quality of Antipsychotic Medication Use and Clinical Outcomes",2016,"Google Scholar","… instead of propensity score matching (PSM) because it performs better with small sample sizes… to the 5th-95th percentiles to improve the performance of propensity score weighting. The …",NA,NA,NA,NA,NA
"1131","The impact of previous conservative treatment of atypical hyperplasia on pregnancy outcomes after IVF/ICSI-embryo transfer: a propensity score-matched retrospective cohort study",NA,NA,NA,2023,"PubMed",2023,"Web of Science","STUDY QUESTION: Do women have worse pregnancy and neonatal outcomes of IVF/ICSI-fresh embryo transfer (ET) after conservative treatment of atypical hyperplasia (AH)?SUMMARY ANSWER: AH has no impact on live birth but is associated with increased risks of pregnancy loss and preterm delivery (PTD).WHAT IS KNOWN ALREADY: AH is a precancerous lesion of endometrial cancer. Several recognized AH risk factors include nulliparity, increased body mass index, ovulation disorders, diabetes mellitus, and others. As such, patients are suggested to attempt conception upon achieving AH regression. Recently, successful pregnancies with IVF/ICSI have been increasingly reported.STUDY DESIGN, SIZE, DURATION: Forty-two patients with AH regression and 18 700 women with no evidence of endometrial abnormality, who underwent their first autologous oocytes' retrieval and fresh ET cycles of IVF/ICSI in the Center for Reproductive Medicine, Shandong University, from May 2008 to July 2021, were retrospectively enrolled.PARTICIPANTS/MATERIALS, SETTING, METHODS: First, 42 AH patients were propensity score matched with control women (n = 168) at a 1:4 ratio. Reproductive outcomes and maternal/neonatal complications were compared between the matched pairs. Binary logistic regression analyses were conducted to assess odds ratios (ORs) of AH for live birth, pregnancy loss, and PTD from AH women and all 18 700 eligible controls.MAIN RESULT AND THE ROLE OF CHANCE: Patients with AH achieved a numerically lower live birth rate (LBR) as compared to the matched controls, but without significant difference (26% versus 37%, P = 0.192). However, compared with the matched controls, AH patients showed significantly higher rates of pregnancy loss (52% versus 21%, P = 0.003) and PTD (45% versus 16%, P = 0.041). Further analyses revealed a statistically significantly increased rate of late pregnancy loss (17% versus 3%, P = 0.023), but not early miscarriage (35% versus 18%, P = 0.086), in the AH group. Furthermore, after correcting for potential confounders, the likelihood of a live birth in AH patients narrowly failed to be statistically significantly different from controls (adjusted OR [aOR]: 0.51, 95% CI: 0.25-1.04, P = 0.064). Nonetheless, the logistic regression reconfirmed that AH was an independent risk factor for pregnancy loss (aOR: 3.62, 95% CI: 1.55-8.46, P = 0.003), late pregnancy loss (aOR: 9.33, 95% CI: 3.00-29.02, P < 0.001), and PTD (aOR: 5.70, 95% CI: 1.45-22.38, P = 0.013).LIMITATIONS, REASONS FOR CAUTION: Selection bias was an inherent drawback of this study. First, because of the low AH prevalence among women receiving IVF/ICSI treatment, and consequently, limited sample size, the relationship between AH with LBR and adverse complications might be concealed and underestimated. Hence, the results should be interpreted cautiously. Similarly, the impacts of diverse clinical features of AH patients on the pregnancy outcomes need further studies in a larger population. Second, although most data used in this study were obtained by reviewing the medical records, missing data did exist and so did the recall bias. Third, although the propensity score matching and multivariable logistic models were performed collectively in order to minimize potential confounders between AH and controls, the intrinsic disadvantages of the retrospective nature of this study could not be avoided completely, and additional confirmation bias might be induced with reduplication of statistical analyses. WIDER IMPLICATION OF THE FINDINGS: Our results highlight the necessity of adequate counseling and intensive pregnancy monitoring for AH individuals and their families."
"1132","The impact of residual and unmeasured confounding in epidemiologic studies: A simulation study",NA,NA,NA,NA,NA,2007,"Web of Science","Measurement error in explanatory variables and unmeasured confounders can cause considerable problems in epidemiologic studies. It is well recognized that under certain conditions, nondifferential measurement error in the exposure variable produces bias towards the null. Measurement error in confounders will lead to residual confounding, but this is not a straightforward issue, and it is not clear in which direction the bias will point. Unmeasured confounders further complicate matters. There has been discussion about the amount of bias in exposure effect estimates that can plausibly occur due to residual or unmeasured confounding. In this paper, the authors use simulation studies and logistic regression analyses to investigate the size of the apparent exposure-outcome association that can occur when in truth the exposure has no causal effect on the outcome. The authors consider two cases with a normally distributed exposure and either two or four normally distributed confounders. When the confounders are uncorrelated, bias in the exposure effect estimate increases as the amount of residual and unmeasured confounding increases. Patterns are more complex for correlated confounders. With plausible assumptions, effect sizes of the magnitude frequently reported in observational epidemiologic studies can be generated by residual and/or unmeasured confounding alone."
"1133","The Impact of Sample Size and Other Factors When Estimating Multilevel Logistic Models",NA,NA,NA,NA,NA,2016,"Web of Science","The design of research studies utilizing binary multilevel models must necessarily incorporate knowledge of multiple factors, including estimation method, variance component size, or number of predictors, in addition to sample sizes. This Monte Carlo study examined the performance of random effect binary outcome multilevel models under varying methods of estimation, level-1 and level-2 sample size, outcome prevalence, variance component sizes, and number of predictors using SAS software. Mean estimates of statistical power were influenced primarily by sample sizes at both levels. In addition, confidence interval coverage and width and the likelihood of nonpositive definite random effect covariance matrices were impacted by variance component size and estimation method. The interactions of these and other factors with various model performance outcomes are explored."
"1134","The Impact of the Veterans Health Administration's Home Based Primary Care on Health Services Use, Expenditures, and Mortality",2015,"Google Scholar","… , inverse probability weighting), but … of propensity score matching. Furthermore, previous research suggested that samples generated via propensity score methods can result in biased …",NA,NA,NA,NA,NA
"1135","The impact of unmeasured within- and between-cluster confounding on the bias of effect estimatorsof a continuous exposure",NA,NA,NA,NA,NA,2020,"Web of Science","Unmeasured confounding almost always exists in observational studies and can bias estimates of exposure effects. Instrumental variable methods are popular choices in combating unmeasured confounding to obtain less biased effect estimates. However, we demonstrate that alternative methods may give less biased estimates depending on the nature of unmeasured confounding. Treatment preferences of clusters (e.g. physician practices) are the most frequently used instruments in instrumental variable analyses. These preference-based instrumental variable analyses are usually conducted on data clustered by region, hospital/facility, or physician, where unmeasured confounding often occurs within or between clusters. We aim to quantify the impact of unmeasured confounding on the bias of effect estimators in instrumental variable analysis, as well as several common alternative methods including ordinary least squares regression, linear mixed models, and fixed-effect models to study the effect of a continuous exposure (e.g. treatment dose) on a continuous outcome. We derive closed-form expressions of asymptotic bias of estimators from these four methods in the presence of unmeasured within- and/or between-cluster confounders. Simulations demonstrate that the asymptotic bias formulae well approximate bias in finite samples for all methods. The bias formulae show that instrumental variable analyses can provide consistent estimates when unmeasured within-cluster confounding exists, but not when between-cluster confounding exists. On the other hand, fixed-effect models and linear mixed models can provide consistent estimates when unmeasured between-cluster confounding exits, but not for within-cluster confounding. Whether instrumental variable analyses are advantageous in reducing bias over fixed-effect models and linear mixed models depends on the extent of unmeasured within-cluster confounding relative to between-cluster confounding. Furthermore, the impact of unmeasured between-cluster confounding on instrumental variable analysis estimates is larger than the impact of unmeasured within-cluster confounding on fixed-effect model and linear mixed model estimates. We illustrate the use of these methods in estimating the effect of erythropoiesis stimulating agents on hemoglobin levels. Our findings provide guidance for choosing appropriate methods to combat the dominant types of unmeasured confounders and help interpret statistical results in the context of unmeasured confounding."
"1136","The interpretation of occupational epidemiologic data in regulation and litigation: Studies of auto mechanics and petroleum workers",NA,NA,NA,NA,NA,2006,"Web of Science","Epidemiologic data often serve as scientific basis for policies in regulation and opinions in litigation. The interpretation of epidemiologic data in both regulation and litigation is often challenged and debated. In this commentary, a wide range of issues concerning the interpretation of epidemiologic data in regulation and litigation are discussed. These issues include: case reports, study design, specificity of exposure, interview or recall bias, misclassification of occupation or exposure, confounding multiple exposures, confidence intervals and statistical power, selection of relevant studies, consistency of study results, study cohort definition, cohort membership misclassification, dilution effect, and subcohort or stratified analysis: Epidemiologic studies of auto mechanics and petroleum workers are used as examples to illustrate the importance of relying on sound epidemiologic principles in study interpretation. If these principles are not followed, the interpretation of epidemiologic studies will likely be erroneous and not useful to regulatory policy-makers or to those involved in litigation. (c) 2006 Elsevier Inc. All rights reserved."
"1137","The mixed model for repeated measures for cluster randomized trials: a simulation study investigating bias and type I error with missing continuous data",NA,NA,NA,NA,NA,2020,"Web of Science","Background Cluster randomized trials (CRTs) are a design used to test interventions where individual randomization is not appropriate. The mixed model for repeated measures (MMRM) is a popular choice for individually randomized trials with longitudinal continuous outcomes. This model's appeal is due to avoidance of model misspecification and its unbiasedness for data missing completely at random or at random. Methods We extended the MMRM to cluster randomized trials by adding a random intercept for the cluster and undertook a simulation experiment to investigate statistical properties when data are missing at random. We simulated cluster randomized trial data where the outcome was continuous and measured at baseline and three post-intervention time points. We varied the number of clusters, the cluster size, the intra-cluster correlation, missingness and the data-generation models. We demonstrate the MMRM-CRT with an example of a cluster randomized trial on cardiovascular disease prevention among diabetics. Results When simulating a treatment effect at the final time point we found that estimates were unbiased when data were complete and when data were missing at random. Variance components were also largely unbiased. When simulating under the null, we found that type I error was largely nominal, although for a few specific cases it was as high as 0.081. Conclusions Although there have been assertions that this model is inappropriate when there are more than two repeated measures on subjects, we found evidence to the contrary. We conclude that the MMRM for CRTs is a good analytic choice for cluster randomized trials with a continuous outcome measured longitudinally."
"1138","The number of events per confounder for valid estimation of risk difference using modified least-squares regression",2018,"Google Scholar","… performance in the confidence interval (28, 29, p. 249). … performance between MLS regression and propensity score … standard error can be biased in a small sample. Further research …",NA,NA,NA,NA,NA
"1139","The Oaxaca-Blinder Unexplained Component as a Treatment Effects Estimator",NA,NA,NA,NA,NA,2015,"Web of Science","In this paper I use the National Supported Work (NSW) data to examine the finite-sample performance of the Oaxaca-Blinder unexplained component as an estimator of the population average treatment effect on the treated (PATT). Precisely, I follow sample and variable selections from Dehejia and Wahba (1999), and conclude that Oaxaca-Blinder performs better than any of the estimators in this influential paper, provided that overlap is imposed. As a robustness check, I consider alternative sample (Smith and Todd, 2005) and variable (Abadie and Imbens, 2011) selections, and present a simulation study which is also based on the NSW data."
"1140","The performance of different propensity score methods for estimating marginal hazard ratios",NA,NA,NA,NA,NA,2013,"Web of Science","Propensity score methods are increasingly being used to reduce or minimize the effects of confounding when estimating the effects of treatments, exposures, or interventions when using observational or non-randomized data. Under the assumption of no unmeasured confounders, previous research has shown that propensity score methods allow for unbiased estimation of linear treatment effects (e.g., differences in means or proportions). However, in biomedical research, time-to-event outcomes occur frequently. There is a paucity of research into the performance of different propensity score methods for estimating the effect of treatment on time-to-event outcomes. Furthermore, propensity score methods allow for the estimation of marginal or population-average treatment effects. We conducted an extensive series of Monte Carlo simulations to examine the performance of propensity score matching (1:1 greedy nearest-neighbor matching within propensity score calipers), stratification on the propensity score, inverse probability of treatment weighting (IPTW) using the propensity score, and covariate adjustment using the propensity score to estimate marginal hazard ratios. We found that both propensity score matching and IPTW using the propensity score allow for the estimation of marginal hazard ratios with minimal bias. Of these two approaches, IPTW using the propensity score resulted in estimates with lower mean squared error when estimating the effect of treatment in the treated. Stratification on the propensity score and covariate adjustment using the propensity score result in biased estimation of both marginal and conditional hazard ratios. Applied researchers are encouraged to use propensity score matching and IPTW using the propensity score when estimating the relative effect of treatment on time-to-event outcomes. Copyright (c) 2012 John Wiley & Sons, Ltd."
"1141","The performance of different propensity score methods for estimating marginal odds ratios",NA,NA,NA,NA,NA,2007,"Web of Science","The propensity score which is the probability of exposure to a specific treatment conditional on observed variables. Conditioning on the propensity score results in unbiased estimation of the expected difference in observed responses to two treatments. In the medical literature, propensity score methods are frequently used for estimating odds ratios. The performance of propensity score methods for estimating marginal odds ratios has not been studied. We performed a series of Monte Carlo simulations to assess the performance of propensity score matching, stratifying on the propensity score, and covariate adjustment using the propensity score to estimate marginal odds ratios. We assessed bias, precision, and mean-squared error (MSE) of the propensity score estimators, in addition to the proportion of bias eliminated due to conditioning on the propensity score. When the true marginal odds ratio was one, then matching on the propensity score and covariate adjustment using the propensity score resulted in unbiased estimation of the true treatment effect, whereas stratification on the propensity score resulted in minor bias in estimating the true marginal odds ratio. When the true marginal odds ratio ranged from 2 to 10, then matching on the propensity score resulted in the least bias, with a relative biases ranging from 2.3 to 13.3 per cent. Stratifying on the propensity score resulted in moderate bias, with relative biases ranging from 15.8 to 59.2 per cent. For both methods, relative bias was proportional to the true odds ratio. Finally, matching on the propensity score tended to result in estimators with the lowest MSE. Copyright (C) 2006 John Wiley & Sons, Ltd."
"1142","The performance of estimators based on the propensity score",NA,NA,NA,NA,NA,2013,"Web of Science","We investigate the finite sample properties of a large number of estimators for the average treatment effect on the treated that are suitable when adjustment for observed covariates is required, like inverse probability weighting, kernel and other variants of matching, as well as different parametric models. The simulation design used is based on real data usually employed for the evaluation of labour market programmes in Germany. We vary several dimensions of the design that are of practical importance, like sample size, the type of the outcome variable, and aspects of the selection process. We find that trimming individual observations with too much weight as well as the choice of tuning parameters are important for all estimators. A conclusion from our simulations is that a particular radius matching estimator combined with regression performs best overall, in particular when robustness to misspecifications of the propensity score and different types of outcome variables is considered an important property. (C) 2013 Elsevier B.V. All rights reserved."
"1143","The performance of inverse probability of treatment weighting and full matching on the propensity score in the presence of model misspecification when estimating the effect of treatment on survival outcomes",NA,NA,NA,NA,NA,2017,"Web of Science","There is increasing interest in estimating the causal effects of treatments using observational data. Propensity-score matching methods are frequently used to adjust for differences in observed characteristics between treated and control individuals in observational studies. Survival or time-to-event outcomes occur frequently in the medical literature, but the use of propensity score methods in survival analysis has not been thoroughly investigated. This paper compares two approaches for estimating the Average Treatment Effect (ATE) on survival outcomes: Inverse Probability of Treatment Weighting (IPTW) and full matching. The performance of these methods was compared in an extensive set of simulations that varied the extent of confounding and the amount of misspecification of the propensity score model. We found that both IPTW and full matching resulted in estimation of marginal hazard ratios with negligible bias when the ATE was the target estimand and the treatment-selection process was weak to moderate. However, when the treatment-selection process was strong, both methods resulted in biased estimation of the true marginal hazard ratio, even when the propensity score model was correctly specified. When the propensity score model was correctly specified, bias tended to be lower for full matching than for IPTW. The reasons for these biases and for the differences between the two methods appeared to be due to some extreme weights generated for each method. Both methods tended to produce more extreme weights as the magnitude of the effects of covariates on treatment selection increased. Furthermore, more extreme weights were observed for IPTW than for full matching. However, the poorer performance of both methods in the presence of a strong treatment-selection process was mitigated by the use of IPTW with restriction and full matching with a caliper restriction when the propensity score model was correctly specified."
"1144","The performance of marginal structural models for estimating risk differences and relative risks using weighted univariate generalized linear models",NA,NA,NA,2024,"PubMed",NA,NA,NA
"1145","The performance of multiple imputation and full information maximum likelihood for missing ordinal data in structural equation models",2012,"Google Scholar","… In the current study, I employed Monte Carlo simulation … Confidence interval coverage was another dependent … 1.1 software using a propensity score classifier with the approximate …",NA,NA,NA,NA,NA
"1146","The performance of propensity score matching and weighting methods on samples of various properties",2023,"Google Scholar","… performance in terms of bias and … confidence interval coverage rate of about 85% in medium overlap condition and 68% in weak overlap condition. The effect of the small sample size …",NA,NA,NA,NA,NA
"1147","The Population-Level Prevalence of Exocrine Pancreas Insufficiency and the Subsequent Risk of Pancreatic Cancer",NA,NA,NA,NA,NA,2024,"Web of Science","Objectives: The aim of this study was to study the prevalence of exocrine pancreas insufficiency (EPI) at a population level and the subsequent risk of pancreatic ductal adenocarcinoma (PDAC). Materials and Methods: Using TriNetX (a database of over 79 million US residents), we included patients >= 18 years with EPI (identified via ICD-10 codes) and continuous follow-up from 2016-2022. Patients with prior pancreas resection and PDAC before an EPI diagnosis were excluded. The primary outcome was EPI prevalence. Secondary outcomes included imaging utilization, PDAC risk, and pancreatic enzyme replacement therapy (PERT) utilization. We performed 1:1 propensity score matching (PSM) of patients with EPI versus patients without an EPI diagnosis. Results: The population prevalence of EPI was 0.8% (n = 24,080) with a mean age of 55.6 years. After PSM, PDAC risk among patients with EPI was twice as high compared with patients without EPI (aHR, 1.97; 95% CI, 1.66-2.36). This risk persisted even after excluding patients with a history of acute or chronic pancreatitis (adjusted odds ratio, 4.25; 95% CI, 2.99-6.04). Only 58% (n = 13, 390) of patients with EPI received PERT. No difference was observed in PDAC risk between patients with EPI on PERT and those not on PERT (aHR, 1.10; 95% CI, 0.95-1.26; P = 0.17). Conclusions: Despite a low prevalence, patients with EPI may have a higher risk of PDAC, and majority with EPI were not on PERT. PERT did not impact incident PDAC risk after an EPI diagnosis."
"1148","The Power of Optimization Over Randomization in Designing Experiments Involving Small Samples",NA,NA,NA,NA,NA,2015,"Web of Science","Random assignment, typically seen as the standard in controlled trials, aims to make experimental groups statistically equivalent before treatment. However, with a small sample, which is a practical reality in many disciplines, randomized groups are often too dissimilar to be useful. We propose an approach based on discrete linear optimization to create groups whose discrepancy in their means and variances is several orders of magnitude smaller than with randomization. We provide theoretical and computational evidence that groups created by optimization have exponentially lower discrepancy than those created by randomization and that this allows for more powerful statistical inference."
"1149","The Private School Advantage: Evidence from School Vouchers and Educational Leadership",2018,"Google Scholar","… difficult to measure how much bias is present when relying on quasi-experimental … the research design and comparison groups biased the impact estimates towards zero. If one has …",NA,NA,NA,NA,NA
"1150","THE PROCEEDINGS OF ACRO 2017",NA,"Google Scholar","… Conditional landmark and propensity score analyses were … The small sample size limits evaluation of efficacy and safety … error 6.1% at 95% confidence interval). The respondents were …",NA,NA,NA,NA,NA
"1151","The Pseudo-EBLUP estimator for a weighted average with an application to the Canadian Survey of Employment, Payrolls and Hours",2016,"Google Scholar","… in terms of Monte Carlo design absolute relative bias (ARB) … for direct estimation, and the simulation process to create the … were domains of interest with small sample size for which the …",NA,NA,NA,NA,NA
"1152","The relationship between COVID-19 vaccination status in pregnancy and birthweight",NA,NA,NA,2023,"PubMed",2023,"Web of Science","BACKGROUND: Despite findings that maternal COVID-19 infection in pregnancy is associated with low birthweight (weight of <2500 g), previ-ous studies demonstrate no difference in low birthweight risk between COVID-19 vaccinated and unvaccinated pregnant persons. Few studies, however, have examined the association between unvaccinated, incom-plete vaccination, and complete vaccination on low birthweight, and they have been limited by small sample sizes and lack of adjustment for covariates.OBJECTIVE: We sought to address key limitations of prior work and evaluate this association between unvaccinated, incomplete, and complete COVID-19 vaccination status in pregnancy and low birthweight. We pre-dicted a protective association of vaccination on low birthweight that varies by number of doses received.STUDY DESIGN: We performed a population-based retrospective study using the Vizient clinical database, which included data from 192 hospitals in the United States. Our sample included pregnant persons who delivered between January 2021 and April 2022 at hospitals that reported maternal vaccination data and birthweight at delivery. Pregnant persons were categorized into 3 groups as follows: unvaccinated; incom-pletely vaccinated (1 dose of Pfizer or Moderna); or completely vaccinated (1 dose of Johnson & Johnson or & GE;2 doses of Moderna or Pfizer). Demo-graphics and outcomes were analyzed using standard statistical tests. We performed multivariable logistic regression to account for potential con-founders between vaccination status and low birthweight in the original cohort. Propensity score matching was used to reduce bias related to the likelihood of vaccination, and the multivariable logistic regression model was then applied to the propensity score-matched cohort. Stratification analysis was performed for gestational age and race and ethnicity.RESULTS: Of the 377,995 participants, 31,155 (8.2%) had low birth-weight, and these participants were more likely to be unvaccinated than those without low birthweight (98.8% vs 98.5%, P<.001). Incompletely vaccinated pregnant persons were 13% less likely to have low birthweight neonates compared to unvaccinated persons (odds ratio, 0.87; 95% confi-dence interval, 0.73-1.04), and completely vaccinated persons were 21% less likely to have low birthweight neonates (odds ratio, 0.79; 95% confi-dence interval, 0.79-0.89). After controlling for maternal age, race or eth-nicity, hypertension, pregestational diabetes, lupus, tobacco use, multifetal gestation, obesity, use of assisted reproductive technology, and maternal or neonatal COVID-19 infections in the original cohort, these associations remained significant for only complete vaccination (adjusted odds ratio, 0.80; 95% confidence interval, 0.70-0.91) and not incomplete vaccination (adjusted odds ratio, 0.87; 95% confidence interval, 0.71-1.04). In the propensity score-matched cohort, pregnant persons who were completely vaccinated against COVID-19 were 22% less likely to have low birthweight neonates compared to unvaccinated and incompletely vaccinated individuals (adjusted odds ratio, 0.78; 95% confidence interval, 0.76-0.79). CONCLUSION: Pregnant persons who were completely vaccinated against COVID-19 were less likely to have low birthweight neonates com-pared to unvaccinated and incompletely vaccinated individuals. This novel association was observed among a large population after adjusting for confounders of low birthweight and factors influencing the likelihood of receiving the COVID-19 vaccine."
"1153","The relationship between prenatal nutrition and offspring autism related outcomes, and its socioeconomic context",2024,"Google Scholar","… However, findings are inconsistent, possibly because of methodological limitations, such as small sample size and retrospective study design. Additionally, understanding the …",NA,NA,NA,NA,NA
"1154","THE RELATIVE IMPORTANCE OF BIAS AND VARIABILITY IN THE ESTIMATION OF THE VARIANCE OF A STATISTIC",NA,NA,NA,NA,NA,1993,"Web of Science","The concept of mean squared error, while useful in the comparison of location-type estimators, can be misleading for variance estimators, since it does not address the relative importance of bias and variability, and the differing effects of negative bias and positive bias, on test size and confidence interval coverage. A simple model is presented here to quantify these effects. It is shown that bias (particularly negative bias) can be a severe problem in this regard, and a less (negatively) biased, but more variable, variance estimator would be preferred."
"1155","The Right Tool for the Job: Choosing Between Covariate-balancing and Generalized Boosted Model Propensity Scores",NA,NA,NA,NA,NA,2017,"Web of Science","Estimating the causal effect of an exposure (vs. some control) on an outcome using observational data often requires addressing the fact that exposed and control groups differ on pre-exposure characteristics that may be related to the outcome (confounders). Propensity score methods have long been used as a tool for adjusting for observed confounders in order to produce more valid causal effect estimates under the strong ignorability assumption. In this article, we compare two promising propensity score estimation methods (for time-invariant binary exposures) when assessing the average treatment effect on the treated: the generalized boosted models and covariate-balancing propensity scores, with the main objective to provide analysts with some rules-of-thumb when choosing between these two methods. We compare the methods across different dimensions including the presence of extraneous variables, the complexity of the relationship between exposure or outcome and covariates, and the residual variance in outcome and exposure. We found that when noncomplex relationships exist between outcome or exposure and covariates, the covariate-balancing method outperformed the boosted method, but under complex relationships, the boosted method performed better. We lay out criteria for when one method should be expected to outperform the other with no blanket statement on whether one method is always better than the other."
"1156","The Role of Different Risk Groups and Treatment Assignment Probabilities in Subgroup Analysis of Randomized Trials",NA,NA,NA,NA,NA,2025,"Web of Science","Retrospective subgroup analyses can introduce significant bias in the estimation of hazard ratios (HRs), particularly when patient distributions across treatment arms are imbalanced. Such disparities can distort the validity of HR outcomes, especially in the presence of unequal risk group compositions and varying treatment assignment probabilities. These factors may artificially shift HR estimates across different risk populations, leading to misleading correlations between subgroup classifications and treatment effects. To quantify this phenomenon, we conducted Monte Carlo simulations across 1000 trials, demonstrating how hazard ratios vary systematically with changes in the underlying risk group population. These findings underscore the need for caution in interpreting HRs from subgroup analyses and highlight the importance of robust trial design to mitigate bias."
"1157","The Role of ESG Performance in Reducing Occupational Accidents: The Moderating Effect of Board Diversity",NA,NA,NA,NA,NA,2026,"Web of Science","Although prior research on environmental, social, and governance (ESG) performance has primarily examined financial and reputational outcomes, its impact on internal operational outcomes remains underexplored. This study investigates the relationship between ESG performance and occupational accidents, emphasizing the moderating role of board diversity. The analysis utilizes a sample of Taiwanese firms that publicly report occupational accident data, specifically the disabling injury frequency rate. To address potential sample selection bias, the study employs propensity score matching. Board diversity is measured using a multidimensional framework that captures six distinct board attributes. To correct for estimation bias associated with a limited sample size, the study applies the bootstrapping method. The regression results reveal a significantly negative association between ESG performance and occupational accidents. This relationship is more pronounced in firms with more diverse boards, suggesting that diverse boards may strengthen the impact of ESG initiatives on workplace safety. To address endogeneity, the study employs the generalized method of moments and two-stage least squares approaches. The findings are robust across industry risk profiles, subsample periods, and alternative ESG measures. These results offer important implications for corporate governance and sustainability, highlighting their joint role in fostering safer work environments."
"1158","The Role of Sample Size to Attain Statistically Comparable Groups - A Required Data Preprocessing Step to Estimate Causal Effects With Observational Data",NA,NA,NA,2021,"PubMed",2021,"Web of Science","Propensity score methods provide data preprocessing tools to remove selection bias and attain statistically comparable groups - the first requirement when attempting to estimate causal effects with observational data. Although guidelines exist on how to remove selection bias when groups in comparison are large, not much is known on how to proceed when one of the groups in comparison, for example, a treated group, is particularly small, or when the study also includes lots of observed covariates (relative to the treated group's sample size). This article investigates whether propensity score methods can help us to remove selection bias in studies with small treated groups and large amount of observed covariates. We perform a series of simulation studies to study factors such as sample size ratio of control to treated units, number of observed covariates and initial imbalances in observed covariates between the groups of units in comparison, that is, selection bias. The results demonstrate that selection bias can be removed with small treated samples, but under different conditions than in studies with large treated samples. For example, a study design with 10 observed covariates and eight treated units will require the control group to be at least 10 times larger than the treated group, whereas a study with 500 treated units will require at least, only, two times bigger control group. To confirm the usefulness of simulation study results for practice, we carry out an empirical evaluation with real data. The study provides insights for practice and directions for future research."
"1159","The Sensitivity of Small Area Estimates under Propensity Score Subclassification for Generalization",NA,NA,NA,NA,NA,2022,"Web of Science","Over the past decade, statisticians have developed methods to improve generalizations from nonrandom samples using propensity score methods. While these methods contribute to generalization research, their effectiveness is limited by small sample sizes. Small area estimation is a class of model-based methods that address the imprecision due to small samples and prior research has shown its potential to improve precision in generalization studies with small samples. However, the validity of both small area methods and existing design-based methods depend on the assumptions of propensity score models, leaving open the question of whether a specific method is preferred when core assumptions are violated. This study compares the performance of design-based and model-based estimators of population parameters in generalization studies when the assumptions for propensity score models are violated. Using a simulation study and an empirical example, we assess the sensitivity of the estimators under various degrees of violations in assumptions, discuss the advantages and tradeoffs of each approach, and highlight the implications for generalization research."
"1160","THE STATISTICAL PERFORMANCE OF MATCHING-ADJUSTED INDIRECT COMPARISONS: ESTIMATING TREATMENT EFFECTS WITH AGGREGATE EXTERNAL CONTROL DATA",NA,NA,NA,NA,NA,2020,"Web of Science","Indirect comparisons of treatment-specific outcomes across separate studies often inform decision making in the absence of head-to-head randomized comparisons. Differences in baseline characteristics between study populations may introduce confounding bias in such comparisons. Matching-adjusted indirect comparison (MAIC) (Pharmacoeconomics 28 (2010) 935-945) has been used to adjust for differences in observed baseline covariates when the individual patient-level data (IPD) are available for only one study and aggregate data (AGD) are available for the other study. The approach weights outcomes from the IPD using estimates of trial selection odds that balance baseline covariates between the IPD and AGD. With the increasing use of MAIC, there is a need for formal assessments of its statistical properties. In this paper we formulate identification assumptions for causal estimands that justify MAIC estimators. We then examine large sample properties and evaluate strategies for estimating standard errors without the full IPD from both studies. The finite-sample bias of MAIC and the performance of confidence intervals based on different standard error estimators are evaluated through simulations. The method is illustrated through an example comparing placebo arm and natural history outcomes in Duchenne muscular dystrophy."
"1161","The synthetic instrument: from sparse association to sparse causation",NA,NA,NA,NA,NA,2026,"Web of Science","In many observational studies, researchers are often interested in the effects of multiple exposures on a single outcome. Standard approaches for high-dimensional data, such as the Lasso, assume that the associations between the exposures and the outcome are sparse. However, these methods do not estimate causal effects in the presence of unmeasured confounding. In this paper, we consider an alternative approach that assumes the causal effects under consideration are sparse. We show that under sparse causation, causal effects are identifiable even with unmeasured confounding. Our proposal is built around a novel device called the synthetic instrument, which, in contrast to standard instrumental variables, can be constructed directly from the observed exposures. We demonstrate that, under the assumption of sparse causation, the problem of causal effect estimation can be formulated as an & ell;0-penalization problem and solved efficiently using off-the-shelf software. Simulations show that our approach outperforms state-of-the-art methods in both low- and high-dimensional settings. We further illustrate our method using a mouse obesity dataset."
"1162","THE UNNECESSARY UBIQUITY OF HLM",NA,"Google Scholar","… A comprehensive discussion of small sample corrections is … so placing a traditional confidence interval around the estimate using … 10 The propensity score model was built using logistic …",NA,NA,NA,NA,NA
